Rank,Name,Total Area (mi2),Land Area (mi2),Water Area (mi2)
1,Brewster,"6,192.30","6,183.70",8.5
2,Pecos,"4,764.80","4,763.90",1
3,Hudspeth,"4,571.80","4,571.00",0.8
4,Presidio,"3,855.90","3,855.20",0.7
5,Culberson,"3,813.00","3,812.80",0.2
6,Webb,"3,375.60","3,361.50",14.1
7,Val Verde,"3,232.70","3,144.80",87.9
8,Crockett,"2,807.30","2,807.30",0
9,Reeves,"2,642.10","2,635.40",6.7
10,Terrell,"2,358.10","2,358.00",0
11,Jeff Davis,"2,264.60","2,264.60",0.1
12,Edwards,"2,119.90","2,117.90",2
13,Kenedy,"1,945.80","1,458.30",487.5
14,Duval,"1,795.60","1,793.50",2.1
15,Harris,"1,777.50","1,703.50",74
16,Matagorda,"1,612.50","1,100.30",512.2
17,Brazoria,"1,608.60","1,357.70",250.9
18,Hidalgo,"1,582.90","1,570.90",12
19,Uvalde,"1,558.60","1,552.00",6.7
20,Tom Green,"1,540.50","1,522.00",18.6
21,Dallam,"1,505.30","1,503.30",2
22,Gaines,"1,502.90","1,502.40",0.5
23,Oldham,"1,501.40","1,500.50",0.9
24,Andrews,"1,501.10","1,500.70",0.4
25,Deaf Smith,"1,498.40","1,496.90",1.5
26,La Salle,"1,494.20","1,486.70",7.5
27,Hartley,"1,463.20","1,462.00",1.2
28,Sutton,"1,454.40","1,453.90",0.5
29,Kinney,"1,365.10","1,360.10",5.1
30,Medina,"1,334.50","1,325.40",9.2
31,Dimmit,"1,334.50","1,328.90",5.6
32,Schleicher,"1,310.70","1,310.60",0
33,Zavala,"1,301.70","1,297.40",4.3
34,Maverick,"1,291.80","1,279.30",12.5
35,Coleman,"1,281.40","1,262.00",19.5
36,Cameron,"1,276.50",890.9,385.5
37,Bexar,"1,256.10","1,239.80",16.3
38,Kimble,"1,251.20","1,251.00",0.2
39,Upton,"1,241.50","1,241.30",0.2
40,Houston,"1,236.60","1,230.90",5.7
41,Starr,"1,229.10","1,223.20",5.9
42,Atascosa,"1,221.50","1,219.50",1.9
43,Liberty,"1,176.30","1,158.40",17.9
44,Reagan,"1,176.00","1,175.30",0.7
45,Nueces,"1,165.60",838.5,327.1
46,McMullen,"1,156.80","1,139.40",17.4
47,San Saba,"1,138.40","1,135.30",3.1
48,Jim Hogg,"1,136.20","1,136.10",0
49,Williamson,"1,134.40","1,118.30",16.1
50,Frio,"1,134.30","1,133.50",0.8
51,Clay,"1,116.80","1,088.70",28
52,Jefferson,"1,112.60",876.3,236.3
53,Polk,"1,109.70","1,057.10",52.6
54,Kerr,"1,107.30","1,103.30",4
55,Wharton,"1,094.40","1,086.20",8.2
56,Kleberg,"1,090.20",881.3,208.9
57,Erath,"1,089.80","1,083.10",6.7
58,Bell,"1,087.80","1,051.00",36.8
59,Navarro,"1,085.90","1,009.60",76.3
60,Leon,"1,080.60","1,073.20",7.5
61,Live Oak,"1,078.90","1,039.70",39.2
62,Anderson,"1,078.00","1,062.60",15.4
63,Montgomery,"1,076.90","1,041.70",35.1
64,McCulloch,"1,073.40","1,065.60",7.8
65,Gonzales,"1,069.90","1,066.70",3.2
66,Cherokee,"1,062.20","1,052.90",9.3
67,Gillespie,"1,061.70","1,058.20",3.5
68,McLennan,"1,060.20","1,037.10",23.1
69,Zapata,"1,058.00",998.4,59.6
70,Runnels,"1,057.10","1,051.00",6.1
71,Coryell,"1,056.80","1,052.10",4.7
72,Red River,"1,056.70","1,036.60",20.2
73,Irion,"1,051.60","1,051.60",0.1
74,Calhoun,"1,032.70",506.8,525.8
75,Travis,"1,023.00",990.2,32.8
76,Milam,"1,021.80","1,016.90",4.8
77,Burnet,"1,021.30",994.3,27
78,Lamb,"1,017.70","1,016.20",1.5
79,El Paso,"1,015.00","1,012.70",2.3
80,Hale,"1,004.80","1,004.70",0.1
81,Bosque,"1,002.50",983,19.6
82,Concho,993.7,983.8,9.9
83,Floyd,992.5,992.1,0.4
84,Motley,989.8,989.6,0.3
85,Hill,985.7,958.9,26.9
86,Palo Pinto,985.5,951.8,33.7
87,Nacogdoches,981.2,946.5,34.6
88,Grayson,979.2,932.8,46.4
89,Wilbarger,977.9,970.8,7.1
90,Colorado,973.7,960.3,13.4
91,Lavaca,970.4,969.7,0.7
92,Jasper,969.7,938.9,30.8
93,Llano,965.9,934,31.8
94,Cass,960.3,937,23.4
95,Fayette,959.8,950,9.8
96,Brown,957,944.4,12.5
97,Denton,953,878.4,74.5
98,Ellis,951.7,935.5,16.3
99,Smith,949.7,921.5,28.3
100,Henderson,948.3,873.8,74.6
101,Comanche,947.7,937.8,9.9
102,Brooks,943.7,943.4,0.3
103,Newton,939.7,933.7,6
104,Rusk,938.4,924,14.4
105,Montague,938.3,930.9,7.4
106,Jones,937.1,928.6,8.6
107,Tyler,935.6,924.5,11.1
108,Limestone,933.2,905.3,27.9
109,Lamar,933.1,907.2,25.9
110,Donley,933,926.9,6.2
111,Lipscomb,932.3,932.2,0.1
112,Mason,932.2,928.8,3.4
113,Eastland,931.9,926.5,5.4
114,Young,930.9,914.5,16.4
115,Gray,929.3,926,3.4
116,Coke,928,911.5,16.5
117,Archer,925.4,903.1,22.3
118,Roberts,924.2,924.1,0.1
119,Carson,924.1,920.2,3.9
120,Sterling,923.5,923.5,0.1
121,Sherman,923.2,923,0.2
122,Bowie,923,885,38
123,Wise,922.6,904.4,18.2
124,Randall,922.4,911.5,10.9
125,Potter,922,908.4,13.6
126,Stephens,921.5,896.7,24.8
127,Hansford,920.4,919.8,0.6
128,Stonewall,920.2,916.3,3.9
129,Jack,920.1,910.7,9.5
130,Collingsworth,919.3,918.4,0.9
131,Taylor,919.3,915.6,3.8
132,Ochiltree,918.1,917.6,0.5
133,Mitchell,915.9,911.1,4.8
134,Harrison,915.8,900,15.8
135,Martin,915.7,914.9,0.8
136,Shackelford,915.5,914.3,1.3
137,Throckmorton,915.5,912.6,2.9
138,Wheeler,915.5,914.5,1
139,Nolan,913.9,912,1.9
140,Armstrong,913.8,909.1,4.7
141,King,913.3,910.9,2.5
142,Hemphill,912.2,906.3,5.9
143,DeWitt,910.5,909,1.5
144,Haskell,910.3,903.1,7.1
145,Parker,910.1,903.5,6.6
146,Moore,909.6,899.7,9.9
147,Dallas,908.6,871.3,37.3
148,Hockley,908.6,908.4,0.2
149,Scurry,907.5,905.4,2.1
150,Borden,906.1,897.4,8.6
151,Dickens,905.2,901.7,3.5
152,Howard,904.2,900.8,3.4
153,Hall,904.1,883.5,20.6
154,Kent,902.9,902.5,0.4
155,Tarrant,902.3,863.6,38.7
156,Menard,902.3,902,0.2
157,Dawson,902.1,900.3,1.8
158,Midland,902.1,900.3,1.8
159,Ector,901.8,897.7,4.1
160,Fisher,901.8,898.9,2.8
161,Crosby,901.7,900.2,1.5
162,Cottle,901.6,900.6,1.1
163,Briscoe,901.6,900,1.6
164,Callahan,901.3,899.4,1.9
165,Glasscock,901.1,900.2,0.9
166,Baylor,901.1,867.5,33.6
167,Lubbock,900.7,895.6,5.1
168,Swisher,900.7,890.2,10.5
169,Castro,899.3,894.4,4.9
170,Fannin,898.9,890.8,8
171,Cooke,898.4,874.8,23.7
172,Hardin,897.6,890.6,7
173,Garza,896.2,893.4,2.8
174,Bastrop,895.5,888.2,7.4
175,Hutchinson,895,887.4,7.5
176,Lynn,893.5,891.9,1.6
177,Freestone,892,877.7,14.3
178,Terry,890.9,888.8,2.1
179,Victoria,888.8,882.1,6.7
180,Collin,886.1,841.2,44.9
181,Fort Bend,885.3,861.5,23.9
182,Parmer,885.2,880.8,4.4
183,Hunt,882,840.3,41.7
184,Bee,880.3,880.2,0.1
185,Galveston,873.8,378.4,495.4
186,Chambers,871.2,597.1,274
187,Jim Wells,868.3,865,3.4
188,Robertson,865.4,855.7,9.7
189,Angelina,864.7,797.8,66.9
190,Van Zandt,859.6,842.6,17
191,Goliad,859.4,852,7.4
192,Jackson,856.9,829.4,27.4
193,Knox,855.5,850.6,4.9
194,Winkler,841.3,841.1,0.2
195,Hamilton,836.4,835.9,0.5
196,Ward,835.8,835.6,0.2
197,Shelby,834.6,795.6,39
198,Bailey,827.5,826.8,0.7
199,Panola,821.3,801.8,19.6
200,Refugio,818.2,770.4,47.8
201,Wilson,808.4,803.7,4.7
202,Kaufman,807.7,780.7,27
203,Grimes,801.6,787.5,14.1
204,Walker,801.5,784.2,17.3
205,Yoakum,799.7,799.7,0
206,Bandera,797.6,791,6.7
207,Hopkins,792.8,767.2,25.6
208,Crane,785.7,785.1,0.7
209,Willacy,784.3,590.6,193.7
210,Cochran,775.2,775.2,0.1
211,Falls,773.8,765.5,8.4
212,Karnes,753.5,747.6,6
213,Mills,749.8,748.3,1.5
214,Johnson,734.5,724.7,9.8
215,Guadalupe,714.8,711.3,3.5
216,Trinity,714,693.6,20.4
217,Lampasas,713.9,712.8,1.1
218,Childress,713.7,696.4,17.3
219,Blanco,713.4,709.3,4.2
220,San Patricio,707.9,693.5,14.5
221,Foard,707.7,704.4,3.3
222,Real,700.1,699.2,0.9
223,Hardeman,696.9,695.1,1.8
224,Wood,695.7,645.2,50.5
225,Hays,679.9,678,1.9
226,Burleson,676.8,659,17.8
227,Loving,676.7,668.9,7.8
228,Kendall,663,662.5,0.6
229,Austin,656.4,646.5,9.9
230,Lee,634.1,629,5.1
231,Wichita,633.1,627.8,5.3
232,San Jacinto,627.9,569.2,58.7
233,Washington,621.8,604,17.8
234,Upshur,592.6,583,9.6
235,San Augustine,592.3,530.7,61.6
236,Brazos,591.2,585.5,5.8
237,Sabine,576.7,491.4,85.3
238,Comal,574.9,559.5,15.4
239,Caldwell,547.2,545.3,1.9
240,Aransas,528,252.1,275.9
241,Waller,517.8,513.4,4.4
242,Madison,472.4,466.1,6.4
243,Hood,436.8,420.6,16.2
244,Titus,425.6,406.1,19.6
245,Marion,420.3,380.9,39.4
246,Orange,379.5,333.7,45.9
247,Franklin,294.8,284.4,10.4
248,Delta,277.9,256.8,21.1
249,Gregg,275.8,273.3,2.5
250,Rains,258.8,229.5,29.4
251,Morris,258.7,252,6.7
252,Camp,203.2,195.8,7.4
253,Somervell,192,186.5,5.5
254,Rockwall,148.7,127,21.7
Total,,"268,596.50","261,231.90","7,364.70"
